               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,            0.021584,           0.0066333,           0.0012551,             0.93031,             0.96485,             0.97538,             0.77363,            0.019144,           0.0031127,          0.00018948,           0.0083005,           0.0083005,           0.0083005
                 105,            0.021125,           0.0065045,          0.00095886,             0.97306,             0.97904,             0.98717,             0.78372,            0.018342,           0.0029361,          0.00027362,            0.008284,            0.008284,            0.008284
                 106,             0.02155,           0.0063203,          0.00089919,             0.97977,             0.98297,             0.98806,             0.77661,            0.018688,           0.0029881,          0.00019722,           0.0082675,           0.0082675,           0.0082675
                 107,            0.021807,           0.0065487,           0.0017086,             0.96751,             0.97998,             0.98615,             0.78753,            0.018285,           0.0029617,          0.00032554,            0.008251,            0.008251,            0.008251
                 108,            0.021944,            0.006658,          0.00097799,             0.96526,             0.96918,             0.97893,             0.78129,            0.018516,           0.0029625,          0.00036219,           0.0082345,           0.0082345,           0.0082345
                 109,            0.021801,           0.0066581,           0.0012234,             0.95775,              0.9837,             0.98544,             0.77777,            0.018463,           0.0030272,          0.00024654,            0.008218,            0.008218,            0.008218
                 110,            0.021806,            0.006348,           0.0012163,             0.97593,             0.98142,             0.98777,              0.7882,            0.017959,           0.0029487,          0.00030987,           0.0082015,           0.0082015,           0.0082015
                 111,              0.0214,           0.0064591,           0.0010717,             0.97137,             0.97939,             0.98475,             0.78473,            0.017965,           0.0029141,          0.00024744,            0.008185,            0.008185,            0.008185
                 112,             0.02081,           0.0066022,           0.0011069,             0.97687,             0.98201,             0.98921,             0.78593,            0.017912,            0.002976,          0.00033047,           0.0081685,           0.0081685,           0.0081685
                 113,            0.021325,           0.0064477,           0.0010461,             0.97323,             0.97231,             0.98362,             0.78524,            0.017744,           0.0029655,          0.00051759,            0.008152,            0.008152,            0.008152
                 114,            0.021219,           0.0065687,          0.00081371,             0.97616,             0.97723,             0.98463,             0.79099,            0.017859,           0.0029567,          0.00026506,           0.0081355,           0.0081355,           0.0081355
                 115,            0.021588,           0.0064112,           0.0011054,             0.97012,             0.98134,             0.98769,              0.7842,            0.018108,           0.0029447,          0.00019811,            0.008119,            0.008119,            0.008119
                 116,            0.021065,           0.0064871,           0.0010756,             0.97827,             0.98487,             0.98705,             0.78611,            0.017792,           0.0029022,          0.00019701,           0.0081025,           0.0081025,           0.0081025
                 117,            0.021738,           0.0063947,          0.00079694,             0.97645,             0.97913,              0.9872,             0.78374,            0.017891,           0.0029175,          0.00015963,            0.008086,            0.008086,            0.008086
                 118,             0.02163,           0.0064897,          0.00059045,              0.9715,             0.97788,             0.98453,             0.77986,            0.018293,           0.0029823,          0.00014224,           0.0080695,           0.0080695,           0.0080695
                 119,            0.020827,            0.006335,           0.0008675,             0.98665,             0.98991,             0.99199,             0.79313,            0.017402,           0.0028784,          0.00021141,            0.008053,            0.008053,            0.008053
                 120,            0.020596,           0.0063902,          0.00098017,              0.9688,             0.99004,             0.98969,             0.79589,            0.017522,           0.0028441,          0.00030061,           0.0080365,           0.0080365,           0.0080365
                 121,            0.020906,           0.0061786,           0.0011582,             0.96484,              0.9802,             0.98819,             0.78728,            0.018084,           0.0029286,          0.00032162,             0.00802,             0.00802,             0.00802
                 122,            0.021056,           0.0066234,           0.0010034,             0.95998,             0.96118,             0.97427,             0.78024,            0.018407,           0.0029766,          0.00032777,           0.0080035,           0.0080035,           0.0080035
                 123,             0.02126,           0.0065579,           0.0009997,             0.96655,               0.987,             0.99042,             0.79105,            0.017842,            0.002922,          0.00020952,            0.007987,            0.007987,            0.007987
                 124,            0.021313,           0.0064489,          0.00079636,             0.97795,             0.98175,             0.98543,             0.78383,            0.017619,           0.0028914,           0.0001524,           0.0079705,           0.0079705,           0.0079705
                 125,            0.020669,           0.0064485,           0.0011014,             0.97316,             0.97554,             0.98359,             0.78826,            0.017951,           0.0028935,          0.00021686,            0.007954,            0.007954,            0.007954
                 126,            0.020807,           0.0064495,           0.0013016,             0.98511,             0.98538,             0.98824,             0.79197,            0.017545,           0.0028745,             0.00023,           0.0079375,           0.0079375,           0.0079375
                 127,            0.020729,           0.0066097,          0.00091988,             0.97065,             0.97732,             0.98756,             0.79467,            0.017569,           0.0028659,          0.00017151,            0.007921,            0.007921,            0.007921
                 128,            0.021028,            0.006579,          0.00097534,             0.98185,             0.98364,             0.98954,             0.79658,            0.017529,           0.0028938,          0.00019682,           0.0079045,           0.0079045,           0.0079045
                 129,              0.0215,           0.0064818,           0.0012019,             0.98235,             0.98447,             0.99025,             0.78633,            0.017598,           0.0028467,          0.00024039,            0.007888,            0.007888,            0.007888
                 130,            0.020658,           0.0062229,           0.0010974,             0.98019,             0.98151,             0.99051,             0.80058,            0.017668,           0.0028288,          0.00020603,           0.0078715,           0.0078715,           0.0078715
                 131,            0.020417,           0.0065014,           0.0013998,             0.96805,             0.97303,             0.97643,             0.78948,            0.017903,           0.0028703,          0.00056373,            0.007855,            0.007855,            0.007855
                 132,            0.020022,           0.0063179,           0.0010715,             0.96756,              0.9756,             0.98955,              0.7879,            0.017832,           0.0028959,          0.00034746,           0.0078385,           0.0078385,           0.0078385
                 133,            0.020808,           0.0062487,           0.0012064,             0.98333,             0.97248,             0.98795,             0.79558,            0.017636,           0.0028665,          0.00031631,            0.007822,            0.007822,            0.007822
                 134,            0.020634,           0.0063363,           0.0010857,             0.98031,             0.97917,             0.98611,             0.79721,            0.017458,           0.0028523,          0.00019764,           0.0078055,           0.0078055,           0.0078055
                 135,            0.020771,            0.006445,           0.0013553,             0.97025,             0.97336,             0.98656,             0.78982,            0.018004,           0.0028811,          0.00024913,            0.007789,            0.007789,            0.007789
                 136,            0.020966,            0.006456,           0.0013775,             0.98301,             0.98279,             0.98875,             0.79386,            0.017395,           0.0028666,          0.00020954,           0.0077725,           0.0077725,           0.0077725
                 137,            0.021241,           0.0063941,            0.001078,             0.97436,             0.97921,             0.98912,               0.795,            0.017598,           0.0029429,          0.00020466,            0.007756,            0.007756,            0.007756
                 138,            0.020409,           0.0062734,          0.00089446,              0.9824,             0.98562,              0.9866,             0.79122,            0.017462,           0.0028774,           0.0002359,           0.0077395,           0.0077395,           0.0077395
                 139,            0.020604,           0.0063477,          0.00091211,             0.96927,             0.97661,             0.98117,             0.78908,            0.017692,            0.002891,          0.00019138,            0.007723,            0.007723,            0.007723
                 140,             0.02019,           0.0063728,          0.00088124,             0.96813,             0.98186,             0.98075,             0.79317,            0.017481,           0.0028767,          0.00025037,           0.0077065,           0.0077065,           0.0077065
                 141,            0.020003,           0.0062393,           0.0010105,             0.97828,              0.9786,             0.98218,             0.79066,            0.017463,           0.0028882,          0.00079038,             0.00769,             0.00769,             0.00769
                 142,             0.02043,           0.0061007,           0.0013175,             0.97947,             0.97994,             0.98418,             0.78836,            0.017474,           0.0028984,          0.00024661,           0.0076735,           0.0076735,           0.0076735
                 143,            0.020297,           0.0064769,           0.0012596,             0.97381,             0.97723,             0.98789,             0.80091,            0.017244,           0.0028655,          0.00021623,            0.007657,            0.007657,            0.007657
                 144,            0.020699,           0.0063487,          0.00095713,             0.98639,             0.98433,             0.99069,             0.79909,            0.017125,            0.002843,           0.0002061,           0.0076405,           0.0076405,           0.0076405
                 145,            0.020746,           0.0061275,          0.00095801,              0.9809,             0.98059,             0.98884,             0.79456,            0.017348,           0.0028735,          0.00014533,            0.007624,            0.007624,            0.007624
                 146,            0.019808,            0.006211,          0.00090042,             0.98614,             0.98706,             0.99107,             0.79759,            0.017128,           0.0028496,          0.00013795,           0.0076075,           0.0076075,           0.0076075
                 147,            0.020623,            0.006343,          0.00086585,             0.97875,             0.98408,             0.99105,              0.8006,            0.017382,           0.0028703,           0.0001337,            0.007591,            0.007591,            0.007591
